"date_of_interest","Bronx_CASE_COUNT","Brooklyn_CASE_COUNT","Manhattan_CASE_COUNT","Queens_CASE_COUNT","StatenIsland_CASE_COUNT","Bronx_DEATH_COUNT","Brooklyn_DEATH_COUNT","Manhattan_DEATH_COUNT","Queens_DEATH_COUNT","StatenIsland_DEATH_COUNT","Bronx_HOSPITALIZED_COUNT","Brooklyn_HOSPITALIZED_COUNT","Manhattan_HOSPITALIZED_COUNT","Queens_HOSPITALIZED_COUNT","StatenIsland_HOSPITALIZED_COUNT"
2020-06-23,73,95,76,121,16,5,4,4,4,0,7,17,5,13,2
2020-06-24,90,101,73,103,14,2,6,2,7,1,7,19,7,15,4
2020-06-25,65,81,46,78,28,4,4,2,4,1,13,10,5,12,3
2020-06-26,66,95,63,77,16,3,3,6,4,1,8,14,4,5,2
2020-06-27,26,70,37,60,13,1,7,2,1,1,10,20,6,6,1
2020-06-28,35,57,41,57,11,3,1,3,4,0,6,11,3,12,0
2020-06-29,75,127,80,132,23,3,4,1,5,3,7,21,4,14,1
2020-06-30,77,127,94,114,29,2,2,2,5,0,8,17,8,10,2
2020-07-01,59,121,83,94,39,1,3,1,3,1,8,12,7,12,0
2020-07-02,76,127,79,117,17,0,3,8,2,3,10,13,8,14,0
2020-07-03,41,72,48,64,8,5,3,0,3,0,4,14,7,4,1
2020-07-04,21,23,32,32,12,1,3,0,0,1,4,8,8,9,1
2020-07-05,20,53,32,38,12,4,1,2,1,0,6,5,6,12,0
2020-07-06,68,142,76,117,28,2,2,1,2,0,8,18,7,19,2
2020-07-07,112,123,88,106,32,1,2,2,1,0,20,6,8,12,1
2020-07-08,83,121,120,88,25,3,2,2,4,2,8,12,8,4,2
2020-07-09,91,104,85,94,18,1,4,0,0,0,17,11,6,11,1
2020-07-10,65,90,48,91,13,3,1,0,1,0,9,17,1,15,3
2020-07-11,40,73,47,86,13,1,2,2,3,0,6,14,5,9,0
2020-07-12,44,55,42,69,13,0,2,0,2,0,7,10,3,6,0
2020-07-13,108,123,79,138,35,5,1,3,4,0,11,15,7,11,5
2020-07-14,70,111,81,121,19,2,4,1,3,0,11,9,8,15,0
2020-07-15,107,150,70,91,22,2,2,1,7,0,9,21,3,10,1
2020-07-16,94,90,83,109,35,1,1,1,3,0,13,7,4,7,3
2020-07-17,75,106,104,106,22,1,0,2,6,0,7,14,11,17,1
2020-07-18,54,58,36,49,19,1,4,2,2,0,6,6,5,8,1
2020-07-19,39,41,33,46,17,1,3,3,0,0,7,11,2,16,2
2020-07-20,95,87,81,109,32,1,3,2,1,0,12,11,5,7,3
2020-07-21,71,79,70,100,21,2,3,0,1,0,5,9,2,6,2
2020-07-22,79,95,58,76,20,2,1,0,3,0,8,14,5,11,2
2020-07-23,69,85,65,63,27,0,3,0,4,0,4,7,10,7,5
2020-07-24,73,68,54,76,28,1,1,0,2,1,12,12,4,11,1
2020-07-25,25,35,34,46,13,5,2,1,2,0,8,12,3,8,4
2020-07-26,30,40,18,33,19,1,4,0,2,0,6,6,6,5,2
2020-07-27,58,78,72,79,26,1,1,1,0,0,11,11,5,10,1
2020-07-28,58,106,58,73,18,5,1,2,4,0,7,18,2,7,4
2020-07-29,80,73,54,67,13,1,1,0,1,1,5,12,6,5,2
2020-07-30,58,99,44,61,12,1,2,1,0,0,6,15,3,11,2
2020-07-31,55,80,51,58,18,1,1,0,1,0,8,8,9,6,3
2020-08-01,37,58,33,54,7,2,3,0,1,0,5,15,4,1,2
2020-08-02,30,38,26,33,8,0,1,0,0,0,5,9,3,12,4
2020-08-03,96,93,56,84,19,1,0,0,1,0,13,12,6,8,1
2020-08-04,47,49,38,46,7,1,0,1,1,0,11,12,2,6,1
2020-08-05,66,90,47,80,15,0,0,2,3,0,9,14,3,12,0
2020-08-06,65,86,53,66,18,1,2,1,1,0,8,12,4,7,3
2020-08-07,53,90,49,57,6,0,0,0,2,0,7,9,4,3,0
2020-08-08,30,57,23,43,7,0,1,3,0,0,7,8,0,5,1
2020-08-09,19,48,18,36,12,1,0,0,2,0,8,9,2,6,1
2020-08-10,89,75,49,77,22,1,1,1,2,0,10,14,6,9,2
2020-08-11,70,82,42,51,18,0,1,2,1,0,10,9,0,2,4
2020-08-12,59,114,43,86,18,1,0,0,0,0,7,7,6,11,0
2020-08-13,61,86,50,67,12,1,1,0,0,0,9,13,7,10,0
2020-08-14,68,80,44,69,16,1,0,0,0,1,6,11,5,14,2
2020-08-15,42,33,25,42,9,2,1,1,0,0,6,7,3,5,2
2020-08-16,23,49,22,39,7,2,1,0,2,0,10,5,0,5,1
2020-08-17,71,96,57,95,14,0,1,1,2,1,9,5,4,15,0
2020-08-18,55,66,61,87,14,1,0,0,0,0,14,9,2,12,2
2020-08-19,50,69,51,69,18,0,1,0,0,0,5,14,8,7,1
2020-08-20,64,56,33,54,20,2,3,0,1,0,14,8,4,10,1
2020-08-21,52,75,51,60,14,0,0,0,3,0,9,9,4,9,0
2020-08-22,29,36,30,34,7,0,2,1,2,1,6,6,7,7,1
2020-08-23,32,55,16,40,7,2,0,1,0,0,3,7,2,11,0
2020-08-24,64,85,49,84,15,5,1,1,0,1,14,9,6,5,2
2020-08-25,64,84,54,69,12,1,2,0,0,0,10,14,7,8,1
2020-08-26,64,117,50,66,16,1,0,2,3,0,5,14,2,5,2
2020-08-27,53,99,48,61,13,1,0,0,0,0,8,9,2,10,2
2020-08-28,77,78,52,52,21,2,0,1,1,0,4,9,1,7,1
2020-08-29,28,38,23,32,7,1,1,0,0,0,7,9,2,4,1
2020-08-30,20,62,37,42,25,2,1,0,1,0,2,5,3,6,4
2020-08-31,46,118,52,77,22,1,0,0,0,0,9,14,6,12,1
2020-09-01,52,89,55,73,24,1,0,0,1,1,5,9,1,5,1
2020-09-02,42,94,48,69,17,0,2,1,1,0,4,14,1,10,0
2020-09-03,40,91,35,90,17,0,2,0,0,0,2,7,1,7,1
2020-09-04,44,71,30,59,26,1,1,1,2,0,10,8,2,9,2
2020-09-05,30,46,22,34,24,0,3,0,0,0,5,10,2,5,0
2020-09-06,18,87,27,62,13,2,1,1,2,0,4,15,3,8,1
2020-09-07,32,75,40,52,18,0,0,0,0,0,2,7,2,6,2
2020-09-08,81,126,58,98,30,1,1,0,0,0,8,8,3,6,1
2020-09-09,56,119,71,82,25,1,0,0,1,0,6,11,3,10,1
2020-09-10,45,124,57,70,27,1,1,0,1,0,2,9,4,7,3
2020-09-11,55,111,54,77,16,2,2,0,0,0,9,9,5,7,2
2020-09-12,35,51,36,61,19,1,0,0,3,0,2,3,1,4,1
2020-09-13,19,118,45,68,13,0,2,0,1,0,2,8,1,5,1
2020-09-14,75,178,77,105,26,1,2,0,2,0,4,15,6,5,2
2020-09-15,62,189,65,81,18,2,0,0,1,0,10,6,4,8,1
2020-09-16,60,200,84,94,18,1,0,1,3,1,7,24,4,10,1
2020-09-17,61,163,88,104,25,1,1,0,1,0,10,13,4,5,2
2020-09-18,45,108,46,69,24,1,2,0,0,0,10,15,5,7,0
2020-09-19,30,66,48,60,13,1,2,1,1,0,3,6,4,7,1
2020-09-20,32,78,46,43,21,0,3,1,1,0,8,9,3,3,1
2020-09-21,73,264,75,122,24,1,1,1,0,0,8,13,0,6,2
2020-09-22,67,209,88,107,26,0,3,0,0,0,7,12,2,13,0
2020-09-23,89,271,100,115,37,1,1,1,0,1,5,24,2,7,0
2020-09-24,71,263,82,100,26,0,0,2,0,0,7,15,6,11,3
2020-09-25,49,192,69,125,28,2,1,1,1,0,8,20,6,11,1
2020-09-26,42,109,35,61,33,3,1,0,1,0,5,7,3,9,2
2020-09-27,32,181,35,106,28,0,2,0,0,0,5,19,2,8,3
2020-09-28,82,139,58,110,47,1,1,0,1,0,7,12,3,14,2
2020-09-29,65,355,95,175,33,2,2,0,2,0,7,18,9,13,3
2020-09-30,52,284,93,135,41,2,4,1,0,1,1,33,8,9,0
2020-10-01,82,332,120,145,26,0,1,0,4,0,7,22,5,6,1
2020-10-02,80,271,78,140,36,0,1,0,2,0,5,26,3,13,2
2020-10-03,34,93,57,98,17,1,1,0,2,1,1,12,4,5,3
2020-10-04,34,162,29,84,26,0,3,0,3,1,4,22,3,11,4
2020-10-05,94,355,84,196,37,0,0,0,0,0,10,24,2,17,2
2020-10-06,67,251,79,145,29,0,2,0,1,0,5,23,8,11,1
2020-10-07,75,223,74,132,37,1,1,1,1,0,9,22,5,10,0
2020-10-08,83,218,80,112,33,0,3,0,2,0,8,20,7,8,4
2020-10-09,92,184,74,143,31,1,0,0,1,0,6,29,4,13,3
2020-10-10,36,96,46,99,36,1,0,0,2,1,3,18,5,7,5
2020-10-11,38,115,29,85,14,2,2,2,1,0,12,20,5,11,1
2020-10-12,53,223,85,116,37,1,1,4,1,1,3,29,7,13,0
2020-10-13,91,224,100,128,45,0,3,0,2,0,9,18,2,16,5
2020-10-14,89,215,86,159,33,2,3,0,1,0,4,23,6,20,5
2020-10-15,91,239,90,143,40,1,2,2,3,0,13,33,5,20,3
2020-10-16,78,163,91,132,38,1,3,1,1,0,9,19,5,12,4
2020-10-17,64,91,61,110,39,1,3,0,1,0,7,9,4,9,6
2020-10-18,45,172,39,123,33,2,1,0,0,1,5,17,4,11,3
2020-10-19,107,204,101,178,36,0,6,0,0,1,10,26,11,18,4
2020-10-20,91,214,104,154,38,0,2,0,3,0,9,33,9,19,4
2020-10-21,96,203,118,188,49,0,3,1,0,1,9,19,4,12,8
2020-10-22,122,242,137,182,76,0,2,0,1,0,9,14,10,16,4
2020-10-23,115,199,78,161,48,1,0,1,1,1,9,24,6,18,3
2020-10-24,73,120,58,103,32,0,0,0,1,0,8,24,5,6,4
2020-10-25,67,128,48,87,32,2,3,2,1,1,8,23,3,7,3
2020-10-26,132,221,118,154,69,0,2,1,1,0,9,13,7,22,5
2020-10-27,119,237,129,180,76,3,3,2,1,0,8,25,4,6,3
2020-10-28,124,231,135,203,90,0,3,0,0,1,8,16,4,14,3
2020-10-29,100,192,117,156,56,0,2,1,1,0,11,22,9,12,5
2020-10-30,115,192,102,168,77,1,4,2,1,2,11,18,5,20,6
2020-10-31,65,117,52,117,52,0,2,0,2,0,7,18,5,13,5
2020-11-01,57,231,66,102,45,0,9,0,2,1,8,19,10,11,8
2020-11-02,159,337,144,220,93,1,7,1,1,0,14,22,7,18,3
2020-11-03,153,319,158,181,92,2,6,2,2,0,11,29,12,18,5
2020-11-04,187,312,199,277,138,0,7,0,1,1,13,28,10,12,6
2020-11-05,198,312,212,306,111,3,4,0,2,0,14,28,14,20,9
2020-11-06,192,238,179,297,131,4,2,0,3,1,9,20,14,20,1
2020-11-07,134,224,148,250,89,1,5,2,4,1,16,12,6,23,3
2020-11-08,106,224,133,226,99,2,3,0,2,1,11,20,7,16,11
2020-11-09,240,418,268,417,202,0,1,0,4,0,18,28,8,21,5
2020-11-10,274,459,311,408,146,2,2,2,1,0,19,30,9,22,9
2020-11-11,239,394,290,448,169,1,2,3,2,1,23,13,17,28,18
2020-11-12,248,383,300,406,164,4,6,2,2,2,19,21,10,19,11
2020-11-13,272,356,263,430,173,1,2,1,1,1,20,32,9,20,12
2020-11-14,193,238,159,324,111,1,5,1,1,1,25,31,11,23,11
2020-11-15,135,232,134,243,152,2,6,1,1,4,14,25,13,28,12
2020-11-16,314,496,332,503,187,0,1,4,1,2,24,34,15,44,10
2020-11-17,337,493,288,422,190,1,3,0,4,2,21,29,13,31,8
2020-11-18,307,467,336,446,197,0,4,0,4,2,24,40,13,30,13
2020-11-19,362,491,347,457,200,1,6,1,1,0,22,37,15,38,20
2020-11-20,328,435,328,458,224,2,2,0,1,1,24,40,18,36,17
2020-11-21,254,354,196,325,161,1,3,3,0,4,18,26,14,41,20
2020-11-22,183,340,159,287,178,4,1,0,4,1,15,39,14,30,19
2020-11-23,437,575,411,605,289,0,7,1,4,1,33,38,16,38,25
2020-11-24,376,553,372,535,238,2,2,5,4,3,19,39,12,42,19
2020-11-25,425,632,384,635,295,2,4,2,1,4,25,42,12,42,20
2020-11-26,137,246,138,204,92,1,3,1,0,2,26,41,27,43,19
2020-11-27,387,603,386,650,273,1,3,2,4,5,24,45,24,38,27
2020-11-28,333,453,329,509,215,4,3,3,2,1,21,33,19,42,12
2020-11-29,244,562,299,506,280,3,3,1,4,4,31,43,19,48,23
2020-11-30,460,899,424,734,378,5,4,1,6,2,41,41,33,60,14
2020-12-01,589,948,551,858,363,1,3,2,5,9,44,46,21,64,25
2020-12-02,540,861,502,843,384,4,10,2,6,4,26,52,23,51,23
2020-12-03,523,847,455,783,337,0,4,7,4,3,47,60,19,57,35
2020-12-04,562,768,402,757,328,5,6,2,7,6,36,60,22,41,23
2020-12-05,325,506,210,597,249,3,6,2,8,4,30,43,27,58,20
2020-12-06,249,556,216,517,216,2,4,2,11,2,36,50,19,47,22
2020-12-07,554,965,449,967,370,2,7,2,6,2,45,58,27,61,32
2020-12-08,496,923,450,900,291,4,8,1,5,4,39,70,35,56,22
2020-12-09,528,913,496,851,318,4,9,2,7,4,57,77,46,62,37
2020-12-10,571,940,463,897,277,7,2,5,9,2,44,75,28,72,27
2020-12-11,501,837,493,880,266,3,8,2,10,7,58,62,32,68,23
2020-12-12,392,600,297,699,218,5,9,2,9,8,38,61,28,59,23
2020-12-13,311,646,297,676,248,4,5,7,4,6,40,58,32,78,19
2020-12-14,614,1111,500,1005,350,4,6,3,13,4,52,80,36,79,19
2020-12-15,634,1065,551,1092,339,2,11,4,9,6,41,78,40,62,17
2020-12-16,445,842,454,811,236,8,15,3,9,4,46,69,21,65,13
2020-12-17,266,649,336,489,186,7,7,6,10,5,48,70,30,64,20
2020-12-18,619,1024,521,928,335,7,13,3,12,4,67,79,37,71,20
2020-12-19,405,764,331,797,260,5,9,4,8,4,46,69,32,73,19
2020-12-20,292,768,295,698,293,4,5,7,7,7,42,83,32,68,22
2020-12-21,717,1307,598,1287,429,5,7,10,16,3,64,99,58,91,20
2020-12-22,732,1251,549,1207,364,8,16,7,12,10,54,88,50,71,24
2020-12-23,635,1100,525,1185,399,7,13,7,7,5,49,115,43,74,23
2020-12-24,503,965,433,874,241,6,9,5,15,4,49,96,37,81,13
2020-12-25,154,345,153,298,96,5,12,6,8,7,43,85,50,76,13
2020-12-26,537,1024,427,1072,393,8,9,7,11,2,43,89,34,79,21
2020-12-27,480,915,314,867,312,4,16,9,7,9,34,90,31,68,19
2020-12-28,1020,1601,679,1531,562,8,13,4,11,6,66,107,55,108,20
2020-12-29,993,1415,613,1602,584,9,14,8,9,9,63,88,57,98,19
2020-12-30,968,1398,661,1493,465,4,16,5,11,4,69,96,41,93,18
2020-12-31,665,936,396,1008,387,4,21,3,10,3,55,90,41,81,20
2021-01-01,206,416,163,434,122,9,16,2,5,3,59,82,36,94,27
2021-01-02,723,1107,519,1341,509,13,18,5,13,8,55,97,48,100,26
2021-01-03,514,1065,396,1092,400,8,11,5,10,5,53,95,36,102,15
2021-01-04,1257,1896,917,1879,658,9,24,6,14,8,65,139,62,116,29
2021-01-05,1166,1759,892,1822,518,12,22,9,18,5,72,101,53,103,24
2021-01-06,1109,1606,758,1687,525,12,19,2,20,6,71,113,44,122,31
2021-01-07,982,1640,799,1572,452,4,18,13,10,7,65,110,35,121,28
2021-01-08,985,1455,780,1602,481,9,15,9,19,8,63,115,33,119,26
2021-01-09,677,1009,447,1190,371,15,20,11,19,4,61,94,35,112,29
2021-01-10,462,1008,366,1020,344,9,17,3,19,4,52,87,48,98,27
2021-01-11,1143,1754,845,1704,469,8,12,6,30,2,88,127,55,109,28
2021-01-12,999,1615,671,1539,415,8,30,9,21,5,89,125,49,103,31
2021-01-13,1045,1534,695,1529,378,4,22,6,28,6,94,128,60,113,33
2021-01-14,995,1557,748,1539,419,6,22,7,25,5,78,136,62,121,33
2021-01-15,934,1402,663,1496,356,12,10,12,19,9,72,128,48,110,32
2021-01-16,607,1073,444,1060,297,12,20,5,27,2,69,106,53,121,25
2021-01-17,502,904,395,862,256,7,24,6,16,2,70,103,55,87,23
2021-01-18,768,1462,601,1435,379,17,22,8,20,6,97,143,54,119,32
2021-01-19,1085,1476,723,1520,337,11,28,11,26,6,73,117,63,114,24
2021-01-20,1038,1353,727,1439,352,6,27,9,25,7,83,107,49,115,18
2021-01-21,962,1405,723,1502,350,11,20,12,16,4,87,121,63,121,25
2021-01-22,1062,1324,707,1291,330,11,31,9,24,4,98,127,57,120,29
2021-01-23,682,1012,500,1022,245,12,28,9,19,10,75,93,53,82,21
2021-01-24,507,908,413,923,179,9,20,9,23,7,76,99,49,91,20
2021-01-25,1177,1762,876,1634,365,10,19,11,17,7,100,111,64,110,18
2021-01-26,1005,1420,765,1389,285,9,30,12,26,2,82,99,51,117,21
2021-01-27,991,1504,823,1408,279,11,30,23,21,5,87,130,57,124,28
2021-01-28,967,1432,755,1367,271,20,16,16,27,7,106,113,52,104,16
2021-01-29,733,1099,530,1073,234,19,26,9,28,6,84,128,68,113,16
2021-01-30,557,874,359,922,164,14,27,9,24,4,58,77,47,73,18
2021-01-31,548,883,334,912,218,7,27,9,24,6,63,97,38,89,17
2021-02-01,169,344,189,234,44,12,22,5,22,3,83,82,41,70,13
2021-02-02,434,873,441,769,142,13,29,7,21,6,89,141,58,97,18
2021-02-03,1093,1505,823,1403,321,15,19,14,21,7,95,147,69,107,18
2021-02-04,1070,1388,705,1404,285,20,26,15,26,3,86,142,74,120,14
2021-02-05,953,1245,537,1181,242,13,32,12,20,4,101,137,68,114,20
2021-02-06,719,900,389,892,180,12,26,9,23,7,81,90,66,97,22
2021-02-07,324,567,202,453,99,21,18,14,22,3,84,103,38,75,10
2021-02-08,972,1345,610,1237,267,18,24,16,18,5,96,124,60,91,19
2021-02-09,874,1090,518,1008,245,9,25,12,21,3,95,107,57,112,26
2021-02-10,868,1061,569,1007,274,21,20,9,23,5,83,116,43,91,22
2021-02-11,725,931,550,978,228,22,30,13,26,5,64,109,51,85,15
2021-02-12,726,934,494,929,231,13,26,10,27,5,78,104,48,88,24
2021-02-13,420,671,276,707,135,14,25,12,25,5,70,73,42,87,9
2021-02-14,371,585,245,580,114,13,29,16,19,3,58,82,34,56,14
2021-02-15,527,860,366,874,234,15,28,13,22,4,71,95,47,89,16
2021-02-16,788,1110,611,1024,190,17,33,6,26,3,79,116,53,93,12
2021-02-17,772,1006,540,922,196,24,23,5,25,3,64,100,40,81,8
2021-02-18,383,591,411,554,110,8,20,8,16,2,52,77,38,81,10
2021-02-19,618,855,462,856,228,9,17,11,19,0,73,80,42,91,14
2021-02-20,510,681,346,786,172,20,19,9,14,7,71,88,41,86,10
2021-02-21,359,792,318,666,151,19,15,5,17,3,57,85,34,84,14
