"","Agency_Name","Fiscal_Year","mean(Total_Salary)","Total_Hours","Percent_Leave"
"1","ADMIN FOR CHILDREN'S SVCS",2015,54145.8380153739,1571.68600279525,0.232704402515723
"2","ADMIN FOR CHILDREN'S SVCS",2016,61944.2368547718,1830.21681327801,0.0979253112033195
"3","ADMIN FOR CHILDREN'S SVCS",2017,63572.9386494689,1758.38595599393,0.138846737481032
"4","ADMIN FOR CHILDREN'S SVCS",2018,63917.5682982456,1728.98700877193,0.119298245614035
"5","ADMIN FOR CHILDREN'S SVCS",2019,62020.2318794835,1666.14669296987,0.121233859397418
"6","ADMIN FOR CHILDREN'S SVCS",2020,62171.7463070814,1712.05936465917,0.1409662475182
"7","ADMIN FOR CHILDREN'S SVCS",2021,61790.004311172,1648.64729952022,0.135023989033585
"8","ADMIN FOR CHILDREN'S SVCS",2022,60034.4635979836,1522.63284814115,0.264020163831128
"9","BRONX DISTRICT ATTORNEY",2015,55621.0685621521,1463.53615955473,0.232838589981447
"10","BRONX DISTRICT ATTORNEY",2016,57347.8701744186,1555.13953488372,0.185077519379845
"11","BRONX DISTRICT ATTORNEY",2017,56671.216903172,1471.19149415693,0.16110183639399
"12","BRONX DISTRICT ATTORNEY",2018,60691.5010760518,1516.91470064725,0.189320388349515
"13","BRONX DISTRICT ATTORNEY",2019,58190.1134390771,1383.22674837779,0.202595529920692
"14","BRONX DISTRICT ATTORNEY",2020,62597.1484969325,1502.61413343558,0.203220858895706
"15","BRONX DISTRICT ATTORNEY",2021,68472.467983871,1583.24844354839,0.166129032258065
"16","BRONX DISTRICT ATTORNEY",2022,65090.3621986353,1421.06349507202,0.272175890826384
"17","COMMUNITY COLLEGE (BRONX)",2015,26267.4399818578,571.737304063861,0.215529753265602
"18","COMMUNITY COLLEGE (BRONX)",2016,25819.0833230028,547.587252066116,0.235537190082645
"19","COMMUNITY COLLEGE (BRONX)",2017,19264.735963035,320.183647859922,0.430739299610895
"20","COMMUNITY COLLEGE (BRONX)",2018,31483.4224879755,591.081731526017,0.147354613030171
"21","COMMUNITY COLLEGE (BRONX)",2019,32567.9271681416,568.847115044248,0.332743362831858
"22","COMMUNITY COLLEGE (BRONX)",2020,18270.6499454297,387.536725784447,0.492496589358799
"23","COMMUNITY COLLEGE (BRONX)",2021,24598.5516453901,456.837588652482,0.619858156028369
"24","COMMUNITY COLLEGE (BRONX)",2022,24809.6423277467,391.440595903166,0.716945996275605
"25","COMMUNITY COLLEGE (HOSTOS)",2015,26802.2207696537,617.482462891699,0.252336448598131
"26","COMMUNITY COLLEGE (HOSTOS)",2016,26226.6894157187,601.877383660807,0.254395036194416
"27","COMMUNITY COLLEGE (HOSTOS)",2017,21521.5506557912,379.553282218597,0.40978792822186
"28","COMMUNITY COLLEGE (HOSTOS)",2018,28011.1578947368,564.970979532164,0.268031189083821
"29","COMMUNITY COLLEGE (HOSTOS)",2019,29861.33,609.29631763527,0.238476953907816
"30","COMMUNITY COLLEGE (HOSTOS)",2020,26695.460080748,504.689791755206,0.376965575860603
"31","COMMUNITY COLLEGE (HOSTOS)",2021,29798.2963371231,527.085002471577,0.366287691547207
"32","COMMUNITY COLLEGE (HOSTOS)",2022,39183.1822992228,656.357901554404,0.36139896373057
"33","DEPARTMENT OF SANITATION",2015,76845.2651867941,2056.80302345786,0.135534317984361
"34","DEPARTMENT OF SANITATION",2016,75031.7741927711,1893.95574297189,0.169477911646586
"35","DEPARTMENT OF SANITATION",2017,74636.2823611111,1944.85195216049,0.158950617283951
"36","DEPARTMENT OF SANITATION",2018,74501.6365415747,1891.69328182487,0.179543782192789
"37","DEPARTMENT OF SANITATION",2019,68815.9592968222,1736.78349560514,0.244759972954699
"38","DEPARTMENT OF SANITATION",2020,76776.1874726077,1899.00971512053,0.246895544192841
"39","DEPARTMENT OF SANITATION",2021,107974.523243968,2237.39890080429,0.161751563896336
"40","DEPARTMENT OF SANITATION",2022,92460.6789513109,1928.37837453184,0.209737827715356
"41","DEPT OF PARKS & RECREATION",2015,13266.7715447154,598.549236479321,0.584658890067162
"42","DEPT OF PARKS & RECREATION",2016,17618.0878580815,787.966657906264,0.449408672798949
"43","DEPT OF PARKS & RECREATION",2017,19671.5378533802,819.028625987709,0.448200175592625
"44","DEPT OF PARKS & RECREATION",2018,19522.2137788632,791.748423623446,0.409413854351687
"45","DEPT OF PARKS & RECREATION",2019,18932.0887784091,732.82945211039,0.518668831168831
"46","DEPT OF PARKS & RECREATION",2020,26062.3970169677,993.313070607553,0.477832512315271
"47","DEPT OF PARKS & RECREATION",2021,29810.3584636119,1085.4875,0.207547169811321
"48","DEPT OF PARKS & RECREATION",2022,29241.8094326973,1154.21732336256,0.399174832387829
"49","FIRE DEPARTMENT",2015,95982.6064898116,2338.45132641292,0.027681660899654
"50","FIRE DEPARTMENT",2016,103259.595599711,2352.94518063584,0.0238439306358381
"51","FIRE DEPARTMENT",2017,99016.3459005992,2320.20893902009,0.0352485019386676
"52","FIRE DEPARTMENT",2018,101318.246112831,2314.11339181287,0.0313037495700034
"53","FIRE DEPARTMENT",2019,96086.8140271793,2350.33077891946,0.0301624129930394
