"","Agency_Name","Fiscal_Year","mean(Total_Salary)","Total_Hours","Percent_Leave"
"1","COMMUNITY COLLEGE (LAGUARDIA)",2015,24562.0958196721,530.579638831967,0.0496926229508197
"2","COMMUNITY COLLEGE (LAGUARDIA)",2016,24585.6038386783,530.762434402332,0.0811467444120505
"3","COMMUNITY COLLEGE (LAGUARDIA)",2017,19257.3775116443,319.580407904023,0.232180663373324
"4","COMMUNITY COLLEGE (LAGUARDIA)",2018,29233.7190737478,557.039310344828,0.053360181223257
"5","COMMUNITY COLLEGE (LAGUARDIA)",2019,27550.6073919173,523.979067199248,0.113486842105263
"6","COMMUNITY COLLEGE (LAGUARDIA)",2020,25200.9118729575,445.379244281046,0.336601307189543
"7","COMMUNITY COLLEGE (LAGUARDIA)",2021,33791.4224886364,540.203923295455,0.326704545454545
"8","COMMUNITY COLLEGE (LAGUARDIA)",2022,33374.5383409091,516.797451704545,0.328409090909091
"9","COMMUNITY COLLEGE (QUEENSBORO)",2015,26253.1314684656,525.775516159398,0.250392218387198
"10","COMMUNITY COLLEGE (QUEENSBORO)",2016,26413.5752701479,536.401958949593,0.260790824026562
"11","COMMUNITY COLLEGE (QUEENSBORO)",2017,20274.890764623,314.403680408739,0.470577871740662
"12","COMMUNITY COLLEGE (QUEENSBORO)",2018,29841.327332543,527.917608180202,0.272080616478957
"13","COMMUNITY COLLEGE (QUEENSBORO)",2019,29893.6014767442,524.743375,0.311337209302326
"14","COMMUNITY COLLEGE (QUEENSBORO)",2020,24969.5010308057,391.100258293839,0.491706161137441
"15","COMMUNITY COLLEGE (QUEENSBORO)",2021,39715.2754099678,585.737648713826,0.313906752411576
"16","COMMUNITY COLLEGE (QUEENSBORO)",2022,42042.3793731718,601.731583786043,0.320936063518596
"17","DEPARTMENT OF CORRECTION",2015,82533.207108189,2094.96319970066,0.12753902073979
"18","DEPARTMENT OF CORRECTION",2016,81450.6184568996,1907.08935438099,0.239978715856687
"19","DEPARTMENT OF CORRECTION",2017,80048.3055554619,1936.56472016183,0.116655428186109
"20","DEPARTMENT OF CORRECTION",2018,80773.2055721175,2019.79794563788,0.122402455063569
"21","DEPARTMENT OF CORRECTION",2019,80865.4865844848,1999.68855685,0.147204912851079
"22","DEPARTMENT OF CORRECTION",2020,85011.6059390716,2131.52043713733,0.147775628626692
"23","DEPARTMENT OF CORRECTION",2021,86964.9335769741,2027.25630183677,0.211607650066275
"24","DEPARTMENT OF CORRECTION",2022,92821.8771446206,1975.47704681417,0.32038742759472
"25","DEPARTMENT OF SANITATION",2015,79632.9155497862,2068.98690897984,0.115455100794136
"26","DEPARTMENT OF SANITATION",2016,76356.7328234649,1821.06179824561,0.195997807017544
"27","DEPARTMENT OF SANITATION",2017,85924.5642075015,2075.71175741077,0.107985480943739
"28","DEPARTMENT OF SANITATION",2018,89027.2030209918,2101.94413142683,0.112564648615759
"29","DEPARTMENT OF SANITATION",2019,86546.3536155674,2028.78066250743,0.117944147355912
"30","DEPARTMENT OF SANITATION",2020,89384.848205052,2038.40789004458,0.151263001485884
"31","DEPARTMENT OF SANITATION",2021,110698.970504792,2214.80092971246,0.138338658146965
"32","DEPARTMENT OF SANITATION",2022,103841.652974225,2036.39894874023,0.192586156964958
"33","DEPT OF ENVIRONMENT PROTECTION",2015,67468.9854700315,1614.2719873817,0.173186119873817
"34","DEPT OF ENVIRONMENT PROTECTION",2016,69349.4151705451,1632.45785145043,0.160981829773669
"35","DEPT OF ENVIRONMENT PROTECTION",2017,74416.2304578696,1675.72316057234,0.124324324324324
"36","DEPT OF ENVIRONMENT PROTECTION",2018,75793.5371187481,1582.57781221234,0.146057072721694
"37","DEPT OF ENVIRONMENT PROTECTION",2019,73266.8950701754,1574.76028654971,0.159649122807018
"38","DEPT OF ENVIRONMENT PROTECTION",2020,78948.7775270758,1673.30855294826,0.140192539109507
"39","DEPT OF ENVIRONMENT PROTECTION",2021,84750.6671296906,1773.92645490454,0.105661619486504
"40","DEPT OF ENVIRONMENT PROTECTION",2022,80289.9965334166,1660.50614615865,0.182386008744535
"41","DEPT OF HEALTH/MENTAL HYGIENE",2015,55954.9099970597,1365.02824463393,0.228168185827698
"42","DEPT OF HEALTH/MENTAL HYGIENE",2016,52272.5621285141,1278.43443908969,0.237215528781794
"43","DEPT OF HEALTH/MENTAL HYGIENE",2017,61850.2171359872,1442.89682340369,0.134918514560513
"44","DEPT OF HEALTH/MENTAL HYGIENE",2018,61486.7261954667,1435.65816232025,0.150865220570314
"45","DEPT OF HEALTH/MENTAL HYGIENE",2019,62614.1553644048,1437.58017363491,0.202650217043637
"46","DEPT OF HEALTH/MENTAL HYGIENE",2020,68019.4789462567,1514.20095986858,0.160995071579441
"47","DEPT OF HEALTH/MENTAL HYGIENE",2021,80420.5966623578,1712.91933298862,0.124870734229576
"48","DEPT OF HEALTH/MENTAL HYGIENE",2022,70359.9206529625,1458.61507859734,0.235550181378476
"49","DEPT OF PARKS & RECREATION",2015,17273.999934688,634.90286647315,0.59089259796807
"50","DEPT OF PARKS & RECREATION",2016,29042.6775144175,1037.37378604383,0.306516724336794
"51","DEPT OF PARKS & RECREATION",2017,29141.454702286,983.221238702818,0.342636895268474
"52","DEPT OF PARKS & RECREATION",2018,28496.3286415584,938.42001038961,0.298441558441558
"53","DEPT OF PARKS & RECREATION",2019,27475.0987560154,878.001280076997,0.409047160731473
"54","DEPT OF PARKS & RECREATION",2020,33420.2148960139,1052.3741565569,0.3789716926632
"55","DEPT OF PARKS & RECREATION",2021,40890.8557730388,1204.19351865956,0.183549124143184
"56","DEPT OF PARKS & RECREATION",2022,38479.8704256021,1206.8695513032,0.3038601121742
"57","FIRE DEPARTMENT",2015,95028.0310505352,2307.61452825492,0.0301219815782923
"58","FIRE DEPARTMENT",2016,98990.7716503751,2237.28933166629,0.037053875880882
"59","FIRE DEPARTMENT",2017,96406.0825370209,2255.71068379791,0.0472560975609756
"60","FIRE DEPARTMENT",2018,97378.3145583666,2177.03936307146,0.040612516644474
"61","FIRE DEPARTMENT",2019,94759.0564829107,2205.28409261301,0.0324145534729879
"62","FIRE DEPARTMENT",2020,100481.6653141,2347.0253257329,0.044206607724523
"63","FIRE DEPARTMENT",2021,106157.184231905,2444.80999015263,0.0645002461841457
"64","FIRE DEPARTMENT",2022,118219.440045998,2359.46278058878,0.0745170193192272
"65","NYC HOUSING AUTHORITY",2015,50554.5155130435,1750.96031304348,0.169130434782609
"66","NYC HOUSING AUTHORITY",2016,47679.9407653653,1445.85098569772,0.347506764592192
"67","NYC HOUSING AUTHORITY",2017,57952.8333450527,1816.98614766449,0.163736815670517
"68","NYC HOUSING AUTHORITY",2018,58147.2902306183,1813.50075073602,0.178606476938175
"69","NYC HOUSING AUTHORITY",2019,63860.5230038573,1847.93443587271,0.181774349083896
"70","NYC HOUSING AUTHORITY",2020,68023.6477782997,1899.16317989667,0.172381399718178
"71","NYC HOUSING AUTHORITY",2021,66129.0078706308,1861.2802169546,0.192446765769385
"72","NYC HOUSING AUTHORITY",2022,75350.7434602498,1884.37787389583,0.203472433749619
"73","POLICE DEPARTMENT",2015,84198.6137528002,2185.15860037012,0.0298042271354826
"74","POLICE DEPARTMENT",2016,88140.3582015168,2183.06133458091,0.00906136117403723
"75","POLICE DEPARTMENT",2017,84877.6611198563,1957.99224313457,0.00581743519548293
"76","POLICE DEPARTMENT",2018,79384.490531314,1966.79334179288,0.00360212853049529
"77","POLICE DEPARTMENT",2019,81999.0760518126,1989.04397594415,0.00328034317436286
"78","POLICE DEPARTMENT",2020,87249.8371344821,2170.57480103038,0.00435246047255285
"79","POLICE DEPARTMENT",2021,80252.0150611269,2004.47119684621,0.00620127569099929
"80","POLICE DEPARTMENT",2022,83791.80328326,1983.39269187603,0.0550807217473884
